Number	Conversation Title	Main Category	Date (approx)	Purpose	Time Saved (min)	Used Output?
1	Startup company	startups	14/1/2026	Jobs	15 mins	YES
2	ATS Resume	ATS 	23/1/2026	ATS Score	20 mins	YES
3	Day Plan	Study	20/1/2026	Studying 	15 mins	YES
4	Best Job Application time 	Time To apply	29/12/2025	Jobs	6 mins	Yes
5	Dressing  Style	Dressing	27/12/2025	Styling	5 mins	NO
6	Therapy Talk	Threapy	21/12/2025	Talk	30 mins	YES
7	Email Draft	Emails	17/11/2025	Drafts	10 mins	YES
8	Cooking Meals	Receipe 	19/10/2025	Cooking	0 mins	NO
9	Github Project Guide	Guide	15/08/2025	Project	30 mins	YES
10	Editing Image	Edit	17/11/2025	Image Edit	18 mins	NO
